"Event","NOC"
"Rowing Women's Coxless Fours","CHN"
"Rowing Women's Coxless Fours","FRA"
"Rowing Women's Coxless Fours","GBR"
"Rowing Women's Coxless Fours","GER"
"Rowing Women's Coxless Fours","ROU"
"Rowing Women's Coxless Fours","USA"
"Rowing Women's Coxless Pairs","ARG"
"Rowing Women's Coxless Pairs","AUS"
"Rowing Women's Coxless Pairs","BLR"
"Rowing Women's Coxless Pairs","BUL"
"Rowing Women's Coxless Pairs","CAN"
"Rowing Women's Coxless Pairs","CHN"
"Rowing Women's Coxless Pairs","CZE"
"Rowing Women's Coxless Pairs","DEN"
"Rowing Women's Coxless Pairs","ESP"
"Rowing Women's Coxless Pairs","EUN"
"Rowing Women's Coxless Pairs","FRA"
"Rowing Women's Coxless Pairs","FRG"
"Rowing Women's Coxless Pairs","GBR"
"Rowing Women's Coxless Pairs","GDR"
"Rowing Women's Coxless Pairs","GER"
"Rowing Women's Coxless Pairs","HUN"
"Rowing Women's Coxless Pairs","ITA"
"Rowing Women's Coxless Pairs","JPN"
"Rowing Women's Coxless Pairs","KOR"
"Rowing Women's Coxless Pairs","LAT"
"Rowing Women's Coxless Pairs","LTU"
"Rowing Women's Coxless Pairs","NED"
"Rowing Women's Coxless Pairs","NZL"
"Rowing Women's Coxless Pairs","POL"
"Rowing Women's Coxless Pairs","ROU"
"Rowing Women's Coxless Pairs","RSA"
"Rowing Women's Coxless Pairs","RUS"
"Rowing Women's Coxless Pairs","TCH"
"Rowing Women's Coxless Pairs","UKR"
"Rowing Women's Coxless Pairs","URS"
"Rowing Women's Coxless Pairs","USA"
"Rowing Women's Coxless Pairs","ZIM"
"Rowing Women's Double Sculls","ARG"
"Rowing Women's Double Sculls","AUS"
"Rowing Women's Double Sculls","AUT"
"Rowing Women's Double Sculls","BEL"
"Rowing Women's Double Sculls","BLR"
"Rowing Women's Double Sculls","BUL"
"Rowing Women's Double Sculls","CAN"
"Rowing Women's Double Sculls","CHN"
"Rowing Women's Double Sculls","CZE"
"Rowing Women's Double Sculls","DEN"
"Rowing Women's Double Sculls","EUN"
"Rowing Women's Double Sculls","FRA"
"Rowing Women's Double Sculls","GBR"
"Rowing Women's Double Sculls","GDR"
"Rowing Women's Double Sculls","GER"
"Rowing Women's Double Sculls","GRE"
"Rowing Women's Double Sculls","HUN"
"Rowing Women's Double Sculls","ITA"
"Rowing Women's Double Sculls","KOR"
"Rowing Women's Double Sculls","LAT"
"Rowing Women's Double Sculls","LTU"
"Rowing Women's Double Sculls","MEX"
"Rowing Women's Double Sculls","NED"
"Rowing Women's Double Sculls","NOR"
"Rowing Women's Double Sculls","NZL"
"Rowing Women's Double Sculls","POL"
"Rowing Women's Double Sculls","ROU"
"Rowing Women's Double Sculls","RUS"
"Rowing Women's Double Sculls","SUI"
"Rowing Women's Double Sculls","SWE"
"Rowing Women's Double Sculls","TCH"
"Rowing Women's Double Sculls","UKR"
"Rowing Women's Double Sculls","URS"
"Rowing Women's Double Sculls","USA"
"Rowing Women's Lightweight Double Sculls","ARG"
"Rowing Women's Lightweight Double Sculls","AUS"
"Rowing Women's Lightweight Double Sculls","AUT"
"Rowing Women's Lightweight Double Sculls","BRA"
"Rowing Women's Lightweight Double Sculls","BUL"
"Rowing Women's Lightweight Double Sculls","CAN"
"Rowing Women's Lightweight Double Sculls","CHI"
"Rowing Women's Lightweight Double Sculls","CHN"
"Rowing Women's Lightweight Double Sculls","CUB"
"Rowing Women's Lightweight Double Sculls","DEN"
"Rowing Women's Lightweight Double Sculls","EGY"
"Rowing Women's Lightweight Double Sculls","ESP"
"Rowing Women's Lightweight Double Sculls","FIN"
"Rowing Women's Lightweight Double Sculls","FRA"
"Rowing Women's Lightweight Double Sculls","GBR"
"Rowing Women's Lightweight Double Sculls","GER"
"Rowing Women's Lightweight Double Sculls","GRE"
"Rowing Women's Lightweight Double Sculls","HKG"
"Rowing Women's Lightweight Double Sculls","HUN"
"Rowing Women's Lightweight Double Sculls","IRL"
"Rowing Women's Lightweight Double Sculls","ITA"
"Rowing Women's Lightweight Double Sculls","JPN"
