"","Date","Player1","Player2","Sets_P1","Sets_P2","P1_G1","P2_G1","P1_G2","P2_G2","P1_G3","P2_G3","P1_G4","P2_G4","P1_G5","P2_G5","HomeWinner"
"197",2022-06-10 17:00:00,"Lushchyk A.","Hubenko M.",2,3,11,5,11,9,8,11,6,11,9,11,0
"198",2022-06-10 17:05:00,"Bochkovskyi V.","Yurchenko K.",2,3,8,11,11,8,8,11,11,9,9,11,0
"199",2022-06-10 17:05:00,"Samofal Y.","Sokoltsov Y.",3,1,11,13,11,7,11,6,12,10,NA,NA,1
"200",2022-06-10 17:20:00,"Pashkevich R.","Uzun N.",0,3,6,11,10,12,7,11,NA,NA,NA,NA,0
"201",2022-06-10 17:25:00,"Huchok A.","Okopnyi V.",0,3,11,13,9,11,10,12,NA,NA,NA,NA,0
"202",2022-06-10 17:25:00,"Sachuk S.","Hryshchenko O.",3,2,4,11,11,5,12,10,5,11,13,11,1
"203",2022-06-10 17:30:00,"Svoboda V.","Melisek M.",2,3,4,11,11,7,12,14,11,7,8,11,0
"204",2022-06-10 17:30:00,"Zaporozhets R.","Ziakun O.",2,3,11,5,6,11,6,11,11,9,9,11,0
"205",2022-06-10 17:35:00,"Pereyaslavsky D.","Peretiatko A.",1,3,8,11,7,11,11,9,6,11,NA,NA,0
"206",2022-06-10 17:40:00,"Zholubak R.","Drobov D.",0,3,11,13,9,11,5,11,NA,NA,NA,NA,0
"207",2022-06-10 17:45:00,"Brichacek D.","Rulc L.",0,3,8,11,8,11,11,13,NA,NA,NA,NA,0
"208",2022-06-10 17:50:00,"Dobrzhinsky O.","Kovik I.",2,3,11,9,8,11,11,5,6,11,11,13,0
"209",2022-06-10 17:55:00,"Marchuk M.","Diachenko M.",0,3,7,11,10,12,6,11,NA,NA,NA,NA,0
"210",2022-06-10 17:55:00,"Tebenko Y.","Budnikov A.",2,3,4,11,11,7,11,9,8,11,10,12,0
"211",2022-06-10 18:00:00,"Cuba M.","Melisek M.",3,0,11,6,11,6,11,6,NA,NA,NA,NA,1
"212",2022-06-10 18:00:00,"Lushchyk A.","Miroshnychenko S.",3,1,8,11,11,5,11,6,11,6,NA,NA,1
"213",2022-06-10 18:05:00,"Bochkovskyi V.","Vilenchyts N.",0,3,5,11,8,11,8,11,NA,NA,NA,NA,0
"214",2022-06-10 18:05:00,"Pfleger M.","Fafek J.",1,3,3,11,10,12,11,6,8,11,NA,NA,0
"215",2022-06-10 18:05:00,"Volkov P.","Khorolskyi V.",3,2,9,11,11,2,11,3,3,11,11,8,1
"216",2022-06-10 18:20:00,"Crainiucov G.","Mischenko S.",3,1,11,7,6,11,11,6,12,10,NA,NA,1
"217",2022-06-10 18:25:00,"Hryshchenko O.","Chernyshov D.",0,3,9,11,6,11,7,11,NA,NA,NA,NA,0
